"Title:","Dow Jones Industrial Average (US) - High from the Dow Jones Industrial Average (US) Database"
"SubTitle:","International"
"Time:","01/02/1980 - 11/11/2022"
"Unit of Measure:","$"
"Citation:","S&P Dow Jones Indices (US) (2022-11-14). Dow Jones Industrial Average (US): Dow Jones Industrial Average (US) - High, 01/02/1980 - 11/11/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  039-001-002 doi:https://doi.org/10.6068/DP184779A1F7630"
"ColumnCount:",2
"RowCount:",10797

"Time","Dow Jones Industrial Average (US) - High ($)"
"01/02/1980",841.2
"01/03/1980",827.73
"01/04/1980",833.53
"01/07/1980",839.84
"01/08/1980",853.67
"01/09/1980",865.7
"01/10/1980",866.72
"01/11/1980",868.17
"01/14/1980",870.66
"01/15/1980",873.81
"01/16/1980",881.14
"01/17/1980",872.95
"01/18/1980",873.2
"01/21/1980",880.03
"01/22/1980",879.95
"01/23/1980",883.02
"01/24/1980",891.38
"01/25/1980",882.25
"01/28/1980",884.56
"01/29/1980",885.67
"01/30/1980",886.09
"01/31/1980",897.88
"02/01/1980",884.64
"02/04/1980",887.38
"02/05/1980",880.89
"02/06/1980",888.05
"02/07/1980",897.27
"02/08/1980",901.11
"02/11/1980",902.39
"02/12/1980",901.38
"02/13/1980",918.17
"02/14/1980",912.03
"02/15/1980",892.92
"02/19/1980",883.95
"02/20/1980",891.3
"02/21/1980",891.13
"02/22/1980",877.47
"02/25/1980",868.94
"02/26/1980",869.45
"02/27/1980",875.27
"02/28/1980",865.09
"02/29/1980",866.55
"03/03/1980",868.27
"03/04/1980",859.91
"03/05/1980",868.69
"03/06/1980",848.13
"03/07/1980",832.52
"03/10/1980",828.84
"03/11/1980",831.91
"03/12/1980",829.86
"03/13/1980",825.27
"03/14/1980",819.11
"03/17/1980",811.27
"03/18/1980",806.66
"03/19/1980",812.13
"03/20/1980",804.61
"03/21/1980",794.7
"03/24/1980",784.98
"03/25/1980",777.47
"03/26/1980",781.66
"03/27/1980",767.41
"03/28/1980",784.39
"03/31/1980",790.88
"04/01/1980",792.16
"04/02/1980",796.42
"04/03/1980",791.98
"04/07/1980",784.39
"04/08/1980",779.61
"04/09/1980",790.02
"04/10/1980",796.42
"04/11/1980",800.84
"04/14/1980",791.81
"04/15/1980",792.41
"04/16/1980",794.88
"04/17/1980",776.38
"04/18/1980",775.94
"04/21/1980",769.62
"04/22/1980",793.44
